title,rating,year,actors,runtime,url
The Dark Knight,9.0,2008,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,https://www.imdb.com//title/tt0468569/
WALL·E,8.4,2008,Ben Burtt; Elissa Knight; Jeff Garlin; Fred Willard,98,https://www.imdb.com//title/tt0910970/
Vaaranam Aayiram,8.3,2008,Suriya; Simran; Ramya; Sameera Reddy,169,https://www.imdb.com//title/tt1180583/
A Wednesday,8.1,2008,Anupam Kher; Naseeruddin Shah; Virendra Saxena; Mahesh Kanual,104,https://www.imdb.com//title/tt1280558/
Aasef ala el-iz'ag,8.1,2008,Fares Bakr; Ahmed Helmy; Menna Shalabi; Mahmoud Hemida,116,https://www.imdb.com//title/tt1282371/
Taare Zameen Par,8.4,2007,Darsheel Safary; Aamir Khan; Tisca Chopra; Vipin Sharma,165,https://www.imdb.com//title/tt0986264/
Khuda Kay Liye,8.4,2007,Shaan Shahid; Fawad Khan; Iman Ali; Austin Marie Sayre,168,https://www.imdb.com//title/tt1068956/
There Will Be Blood,8.2,2007,Daniel Day-Lewis; Paul Dano; Ciarán Hinds; Martin Stringer,158,https://www.imdb.com//title/tt0469494/
No Country for Old Men,8.2,2007,Tommy Lee Jones; Javier Bardem; Josh Brolin; Woody Harrelson,122,https://www.imdb.com//title/tt0477348/
Into the Wild,8.1,2007,Emile Hirsch; Vince Vaughn; Catherine Keener; Marcia Gay Harden,148,https://www.imdb.com//title/tt0758758/
The Prestige,8.5,2006,Christian Bale; Hugh Jackman; Scarlett Johansson; Michael Caine,130,https://www.imdb.com//title/tt0482571/
Pudhu Pettai,8.5,2006,Dhanush; Sneha; Sonia Agarwal; Azhagam Perumal,168,https://www.imdb.com//title/tt0459516/
The Departed,8.5,2006,Leonardo DiCaprio; Matt Damon; Jack Nicholson; Mark Wahlberg,151,https://www.imdb.com//title/tt0407887/
Das Leben der Anderen,8.4,2006,Ulrich Mühe; Martina Gedeck; Sebastian Koch; Ulrich Tukur,137,https://www.imdb.com//title/tt0405094/
Khosla Ka Ghosla!,8.3,2006,Anupam Kher; Boman Irani; Parvin Dabas; Tara Sharma,135,https://www.imdb.com//title/tt0466460/
Graves End,8.7,2005,Eric Roberts; Steven Williams; Daniel Roebuck; Valerie Mikita,90,https://www.imdb.com//title/tt0419781/
Anniyan,8.3,2005,Vikram; Sada; Prakash Raj; Vivek,181,https://www.imdb.com//title/tt0376127/
Athadu,8.3,2005,Mahesh Babu; Trisha Krishnan; Prakash Raj; Sonu Sood,172,https://www.imdb.com//title/tt0471571/
Batman Begins,8.2,2005,Christian Bale; Michael Caine; Ken Watanabe; Liam Neeson,140,https://www.imdb.com//title/tt0372784/
V for Vendetta,8.2,2005,Hugo Weaving; Natalie Portman; Rupert Graves; Stephen Rea,132,https://www.imdb.com//title/tt0434409/
Marmoulak,8.5,2004,Parviz Parastui; Bahram Ebrahimi; Shahrokh Foroutanian; Farideh Sepah Mansour,115,https://www.imdb.com//title/tt0416960/
Kad porastem bicu Kengur,8.4,2004,Sergej Trifunovic; Marija Karan; Nebojsa Glogovac; Boris Milivojevic,92,https://www.imdb.com//title/tt0383846/
Virumandi,8.4,2004,Kamal Haasan; Abhirami; Pasupathy; Napolean,175,https://www.imdb.com//title/tt0364647/
Black Friday,8.4,2004,Kay Kay Menon; Pawan Malhotra; Aditya Srivastav; Dibyendu Bhattacharya,143,https://www.imdb.com//title/tt0400234/
Eternal Sunshine of the Spotless Mind,8.3,2004,Jim Carrey; Kate Winslet; Tom Wilkinson; Gerry Robert Byrne,108,https://www.imdb.com//title/tt0338013/
The Lord of the Rings: The Return of the King,9.0,2003,Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom,201,https://www.imdb.com//title/tt0167260/
Anbe Sivam,8.7,2003,Kamal Haasan; Madhavan; Kiran Rathod; Nassar,160,https://www.imdb.com//title/tt0367495/
