title,rating,year,actors,runtime,url
De belhamel,7.7,1944,Heinz Rühmann; Karin Himboldt; Hilde Sessak; Erich Ponto,97,https://www.imdb.com//title/tt0036818/
The Life and Death of Colonel Blimp,8.1,1943,Roger Livesey; Deborah Kerr; Anton Walbrook; James McKechnie,163,https://www.imdb.com//title/tt0036112/
De dag des oordeels,8.1,1943,Thorkild Roose; Lisbeth Movin; Sigrid Neiiendam; Kirsten Andreasen,97,https://www.imdb.com//title/tt0036506/
Le corbeau,7.9,1943,Pierre Fresnay; Ginette Leclerc; Micheline Francey; Héléna Manson,92,https://www.imdb.com//title/tt0035753/
Arsenicum en oude kant,7.9,1943,Cary Grant; Priscilla Lane; Raymond Massey; Jack Carson,118,https://www.imdb.com//title/tt0036613/
Shadow of a Doubt,7.8,1943,Teresa Wright; Joseph Cotten; Macdonald Carey; Henry Travers,108,https://www.imdb.com//title/tt0036342/
Casablanca,8.5,1942,Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains,102,https://www.imdb.com//title/tt0034583/
Spionnage in het spel,8.2,1942,Carole Lombard; Jack Benny; Robert Stack; Felix Bressart,99,https://www.imdb.com//title/tt0035446/
The Ox-Bow Incident,8.0,1942,Henry Fonda; Dana Andrews; Mary Beth Hughes; Anthony Quinn,75,https://www.imdb.com//title/tt0036244/
"Now, Voyager",7.9,1942,Bette Davis; Paul Henreid; Claude Rains; Gladys Cooper,117,https://www.imdb.com//title/tt0035140/
Gevangenen van 't verleden,7.9,1942,Ronald Colman; Greer Garson; Philip Dorn; Susan Peters,126,https://www.imdb.com//title/tt0035238/
Citizen Kane,8.3,1941,Orson Welles; Joseph Cotten; Dorothy Comingore; Agnes Moorehead,119,https://www.imdb.com//title/tt0033467/
The Maltese Falcon,8.0,1941,Humphrey Bogart; Mary Astor; Gladys George; Peter Lorre,100,https://www.imdb.com//title/tt0033870/
The Little Foxes,7.9,1941,Bette Davis; Herbert Marshall; Teresa Wright; Richard Carlson,116,https://www.imdb.com//title/tt0033836/
Sullivan's Travels,7.9,1941,Joel McCrea; Veronica Lake; Robert Warwick; William Demarest,90,https://www.imdb.com//title/tt0034240/
Sergeant York,7.7,1941,Gary Cooper; Walter Brennan; Joan Leslie; George Tobias,134,https://www.imdb.com//title/tt0034167/
De dictator,8.4,1940,Charles Chaplin; Paulette Goddard; Jack Oakie; Reginald Gardiner,125,https://www.imdb.com//title/tt0032553/
Rebecca,8.1,1940,Laurence Olivier; Joan Fontaine; George Sanders; Judith Anderson,130,https://www.imdb.com//title/tt0032976/
The Shop Around the Corner,8.1,1940,Margaret Sullavan; James Stewart; Frank Morgan; Joseph Schildkraut,99,https://www.imdb.com//title/tt0033045/
The Grapes of Wrath,8.1,1940,Henry Fonda; Jane Darwell; John Carradine; Charley Grapewin,129,https://www.imdb.com//title/tt0032551/
De bronzen godin,7.9,1940,Cary Grant; Katharine Hepburn; James Stewart; Ruth Hussey,112,https://www.imdb.com//title/tt0032904/
Gejaagd door de wind,8.2,1939,Clark Gable; Vivien Leigh; Thomas Mitchell; Barbara O'Neil,238,https://www.imdb.com//title/tt0031381/
The Wizard of Oz,8.1,1939,Judy Garland; Frank Morgan; Ray Bolger; Bert Lahr,102,https://www.imdb.com//title/tt0032138/
Mr. Smith Goes to Washington,8.1,1939,James Stewart; Jean Arthur; Claude Rains; Edward Arnold,129,https://www.imdb.com//title/tt0031679/
La règle du jeu,7.9,1939,Marcel Dalio; Nora Gregor; Paulette Dubost; Mila Parély,110,https://www.imdb.com//title/tt0031885/
Schaduwen uit het verleden,7.9,1939,James Cagney; Humphrey Bogart; Priscilla Lane; Gladys George,106,https://www.imdb.com//title/tt0031867/
Engelen met smerige gezichten,7.9,1938,James Cagney; Pat O'Brien; Humphrey Bogart; Ann Sheridan,97,https://www.imdb.com//title/tt0029870/
The Adventures of Robin Hood,7.9,1938,Errol Flynn; Olivia de Havilland; Basil Rathbone; Claude Rains,102,https://www.imdb.com//title/tt0029843/
Pygmalion,7.8,1938,Leslie Howard; Wendy Hiller; Wilfrid Lawson; Marie Lohr,96,https://www.imdb.com//title/tt0030637/
The Lady Vanishes,7.8,1938,Margaret Lockwood; Michael Redgrave; Paul Lukas; May Whitty,96,https://www.imdb.com//title/tt0030341/
Bringing Up Baby,7.8,1938,Katharine Hepburn; Cary Grant; Charles Ruggles; Walter Catlett,102,https://www.imdb.com//title/tt0029947/
Make Way for Tomorrow,8.2,1937,Victor Moore; Beulah Bondi; Fay Bainter; Thomas Mitchell,91,https://www.imdb.com//title/tt0029192/
La Grande Illusion,8.1,1937,Jean Gabin; Dita Parlo; Pierre Fresnay; Erich von Stroheim,113,https://www.imdb.com//title/tt0028950/
De stormduivels,8.0,1937,Spencer Tracy; Freddie Bartholomew; Lionel Barrymore; Melvyn Douglas,117,https://www.imdb.com//title/tt0028691/
Die verduivelde waarheid,7.7,1937,Irene Dunne; Cary Grant; Ralph Bellamy; Alexander D'Arcy,90,https://www.imdb.com//title/tt0028597/
Lost Horizon,7.7,1937,Ronald Colman; Jane Wyatt; Edward Everett Horton; John Howard,132,https://www.imdb.com//title/tt0029162/
Modern Times,8.5,1936,Charles Chaplin; Paulette Goddard; Henry Bergman; Tiny Sandford,87,https://www.imdb.com//title/tt0027977/
My Man Godfrey,8.0,1936,William Powell; Carole Lombard; Alice Brady; Gail Patrick,94,https://www.imdb.com//title/tt0028010/
Fury,7.9,1936,Sylvia Sidney; Spencer Tracy; Walter Abel; Bruce Cabot,92,https://www.imdb.com//title/tt0027652/
"Nee, mevrouw, dat nooit!",7.8,1936,Jean Harlow; William Powell; Myrna Loy; Spencer Tracy,98,https://www.imdb.com//title/tt0027884/
Dodsworth,7.8,1936,Walter Huston; Ruth Chatterton; Paul Lukas; Mary Astor,101,https://www.imdb.com//title/tt0027532/
A Tale of Two Cities,7.8,1935,Ronald Colman; Elizabeth Allan; Edna May Oliver; Reginald Owen,128,https://www.imdb.com//title/tt0027075/
A Night at the Opera,7.8,1935,Groucho Marx; Chico Marx; Harpo Marx; Kitty Carlisle,96,https://www.imdb.com//title/tt0026778/
Bride of Frankenstein,7.8,1935,Boris Karloff; Elsa Lanchester; Colin Clive; Valerie Hobson,75,https://www.imdb.com//title/tt0026138/
Kapitein Blood,7.7,1935,Errol Flynn; Olivia de Havilland; Lionel Atwill; Basil Rathbone,119,https://www.imdb.com//title/tt0026174/
Top Hat,7.7,1935,Fred Astaire; Ginger Rogers; Edward Everett Horton; Erik Rhodes,101,https://www.imdb.com//title/tt0027125/
Het gebeurde op 'n avond,8.1,1934,Clark Gable; Claudette Colbert; Walter Connolly; Roscoe Karns,105,https://www.imdb.com//title/tt0025316/
The Thin Man,7.9,1934,William Powell; Myrna Loy; Maureen O'Sullivan; Nat Pendleton,91,https://www.imdb.com//title/tt0025878/
L'Atalante,7.8,1934,Dita Parlo; Jean Dasté; Gilles Margaritis; Louis Lefebvre,89,https://www.imdb.com//title/tt0024844/
Tsarina van Rusland,7.5,1934,Marlene Dietrich; John Lodge; Sam Jaffe; Louise Dresser,104,https://www.imdb.com//title/tt0025746/
The Gay Divorcee,7.4,1934,Fred Astaire; Ginger Rogers; Alice Brady; Edward Everett Horton,107,https://www.imdb.com//title/tt0025164/
King Kong,7.9,1933,Fay Wray; Robert Armstrong; Bruce Cabot; Frank Reicher,100,https://www.imdb.com//title/tt0024216/
Das Testament des Dr. Mabuse,7.9,1933,Rudolf Klein-Rogge; Otto Wernicke; Thomy Bourdelle; Gustav Diessl,122,https://www.imdb.com//title/tt0023563/
De dictator,7.8,1933,Groucho Marx; Harpo Marx; Chico Marx; Zeppo Marx,69,https://www.imdb.com//title/tt0023969/
Gold Diggers of 1933,7.7,1933,Warren William; Joan Blondell; Aline MacMahon; Ruby Keeler,97,https://www.imdb.com//title/tt0024069/
Queen Christina,7.6,1933,Greta Garbo; John Gilbert; Ian Keith; Lewis Stone,99,https://www.imdb.com//title/tt0024481/
Ik ben een vluchteling,8.2,1932,Paul Muni; Glenda Farrell; Helen Vinson; Noel Francis,92,https://www.imdb.com//title/tt0023042/
Trouble in Paradise (De firma Adam & Eva),8.0,1932,Miriam Hopkins; Kay Francis; Herbert Marshall; Charles Ruggles,83,https://www.imdb.com//title/tt0023622/
Otona no miru ehon - Umarete wa mita keredo,7.9,1932,Tatsuo Saitô; Tomio Aoki; Mitsuko Yoshikawa; Hideo Sugawara,100,https://www.imdb.com//title/tt0023634/
Freaks,7.9,1932,Wallace Ford; Leila Hyams; Olga Baclanova; Roscoe Ates,64,https://www.imdb.com//title/tt0022913/
Scarface,7.7,1932,Paul Muni; Ann Dvorak; Karen Morley; Osgood Perkins,93,https://www.imdb.com//title/tt0023427/
City Lights,8.5,1931,Charles Chaplin; Virginia Cherrill; Florence Lee; Harry Myers,87,https://www.imdb.com//title/tt0021749/
M - Eine Stadt sucht einen Mörder,8.3,1931,Peter Lorre; Ellen Widmann; Inge Landgut; Otto Wernicke,117,https://www.imdb.com//title/tt0022100/
Frankenstein,7.8,1931,Colin Clive; Mae Clarke; Boris Karloff; John Boles,70,https://www.imdb.com//title/tt0021884/
Dr. Jekyll and Mr. Hyde,7.6,1931,Fredric March; Miriam Hopkins; Rose Hobart; Holmes Herbert,98,https://www.imdb.com//title/tt0022835/
The Public Enemy,7.6,1931,James Cagney; Jean Harlow; Edward Woods; Joan Blondell,83,https://www.imdb.com//title/tt0022286/
All Quiet on the Western Front,8.1,1930,Lew Ayres; Louis Wolheim; John Wray; Arnold Lucy,152,https://www.imdb.com//title/tt0020629/
Der blaue Engel,7.7,1930,Emil Jannings; Marlene Dietrich; Kurt Gerron; Rosa Valetti,104,https://www.imdb.com//title/tt0020697/
Animal Crackers,7.4,1930,Groucho Marx; Harpo Marx; Chico Marx; The Marx Brothers,97,https://www.imdb.com//title/tt0020640/
Hell's Angels,7.3,1930,Ben Lyon; James Hall; Jean Harlow; John Darrow,127,https://www.imdb.com//title/tt0020960/
L'âge d'or,7.2,1930,Gaston Modot; Lya Lys; Caridad de Laberdesque; Max Ernst,60,https://www.imdb.com//title/tt0021577/
